Domain Code,Domain,Area Code (M49),country,Element Code,Element,Item Code (CPC),Item,Year Code,year,Unit,production_tonnes,Flag,Flag Description,Note
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1971,1971,TRUE,70587,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1972,1972,TRUE,70195,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1973,1973,TRUE,70396,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1974,1974,TRUE,69855,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1975,1975,TRUE,65387,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1976,1976,TRUE,65445,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1977,1977,TRUE,80190,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1978,1978,TRUE,88166,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1979,1979,TRUE,105478,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1980,1980,TRUE,86177,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1981,1981,TRUE,79360,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1982,1982,TRUE,79422,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1983,1983,TRUE,85637,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1984,1984,TRUE,83357,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1985,1985,TRUE,90736,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1986,1986,TRUE,96054,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1987,1987,TRUE,98538,A,Official figure,NA
QCL,Crops and livestock products,604,Peru,5510,Production,01610,"Coffee, green",1988,1988,TRUE,99414,A,Official figure,NA
